shipping_address_id,country,street,city,state/province,postal_code,phone_number
85594,Taiwan,6783 Main St,London,NY,12892,Phone Number
60051,Ireland,1607 Main St,Toronto,NSW,34395,Phone Number
49052,Rwanda,2163 Main St,Sydney,ON,28756,Phone Number
28212,Sweden,3742 Main St,London,ENG,97710,Phone Number
32699,Gabon,2100 Main St,London,ENG,44651,Phone Number
47841,South Africa,1394 Main St,Berlin,NY,76333,Phone Number
30523,United Kingdom,4165 Main St,Toronto,NSW,83745,Phone Number
14785,Albania,8114 Main St,Tokyo,TYO,59306,Phone Number
79943,Malaysia,1703 Main St,London,ON,31346,Phone Number
60511,Ghana,1422 Main St,New York,NY,38024,Phone Number
62198,Cuba,6056 Main St,New York,ENG,50818,Phone Number
42012,Saint Lucia,2541 Main St,Tokyo,BE,15947,Phone Number
82853,Romania,1198 Main St,Sydney,BE,85153,Phone Number
27185,Portugal,5173 Main St,Toronto,NSW,96240,Phone Number
28150,Macedonia,9797 Main St,Berlin,NSW,77428,Phone Number
56339,China,9418 Main St,New York,NY,39754,Phone Number
34498,Germany,8588 Main St,New York,TYO,73355,Phone Number
72097,Ireland,3887 Main St,Tokyo,ENG,68241,Phone Number
23071,Poland,2196 Main St,Sydney,NY,78960,Phone Number
45762,Namibia,2308 Main St,Sydney,TYO,23418,Phone Number
84793,Uzbekistan,6088 Main St,Tokyo,NSW,98593,Phone Number
80076,Zimbabwe,275 Main St,New York,BE,65184,Phone Number
10759,Mongolia,7269 Main St,Toronto,ON,14833,Phone Number
60801,Norway,6114 Main St,New York,BE,85430,Phone Number
28158,Oman,1767 Main St,Sydney,ENG,51833,Phone Number
35320,Serbia,8967 Main St,Berlin,ENG,10565,Phone Number
23395,Democratic Republic of the Congo,1923 Main St,New York,BE,50180,Phone Number
69001,Bulgaria,5247 Main St,Toronto,BE,28402,Phone Number
92697,Brunei,1456 Main St,London,TYO,52845,Phone Number
98034,Serbia,3172 Main St,New York,NY,85851,Phone Number
63556,Ghana,3359 Main St,Tokyo,NSW,22834,Phone Number
27149,Malawi,6299 Main St,London,TYO,77850,Phone Number
97284,Zimbabwe,646 Main St,Tokyo,ON,47180,Phone Number
72052,Cyprus,5331 Main St,Tokyo,BE,13883,Phone Number
46579,Nicaragua,8065 Main St,Tokyo,ON,85587,Phone Number
78627,Estonia,2183 Main St,New York,ON,21695,Phone Number
50993,Estonia,2140 Main St,Sydney,TYO,33123,Phone Number
48404,Lithuania,4634 Main St,London,NSW,68481,Phone Number
35397,Republic of the Congo,1852 Main St,Toronto,ENG,83438,Phone Number
62910,Czech Republic,9907 Main St,Sydney,NY,27573,Phone Number
94902,Cameroon,1949 Main St,New York,ENG,66494,Phone Number
66110,Vietnam,2742 Main St,Tokyo,NSW,22288,Phone Number
23610,Moldova ,1700 Main St,Toronto,ENG,56978,Phone Number
76059,Bahrain,4502 Main St,London,BE,82420,Phone Number
74814,Hungary,3899 Main St,Sydney,BE,86095,Phone Number
57954,Marshall Islands,718 Main St,Berlin,TYO,64672,Phone Number
24726,Iraq,1232 Main St,Sydney,ON,71821,Phone Number
25314,Albania,5591 Main St,Toronto,NSW,93661,Phone Number
92097,Lesotho,5895 Main St,New York,NSW,79224,Phone Number
81349,Lebanon,7733 Main St,London,ENG,99405,Phone Number
42605,Hungary,1587 Main St,Toronto,TYO,64796,Phone Number
40111,Japan,7948 Main St,Tokyo,ENG,54706,Phone Number
80233,Georgia,5109 Main St,London,ENG,14023,Phone Number
49753,Estonia,9849 Main St,Sydney,NSW,92636,Phone Number
98691,Luxembourg,2213 Main St,Toronto,ENG,46735,Phone Number
75338,Swaziland,1144 Main St,Sydney,ON,82959,Phone Number
27394,Romania,2531 Main St,Sydney,ENG,49218,Phone Number
30959,Ethiopia,8079 Main St,Sydney,ON,22213,Phone Number
75599,Chad,1682 Main St,New York,NSW,38460,Phone Number
57532,Morocco,1408 Main St,Sydney,TYO,74680,Phone Number
24128,Mexico,5017 Main St,Tokyo,BE,41017,Phone Number
26093,Nigeria,8893 Main St,Tokyo,ON,40990,Phone Number
54236,Trinidad and Tobago,1720 Main St,London,TYO,29515,Phone Number
84165,Moldova ,7603 Main St,Berlin,TYO,39991,Phone Number
15452,Solomon Islands,4866 Main St,Sydney,ON,17634,Phone Number
33856,India,5462 Main St,Sydney,NSW,87034,Phone Number
64955,Burkina Faso,5292 Main St,Toronto,NY,86452,Phone Number
79042,Kiribati,6722 Main St,New York,TYO,39377,Phone Number
28486,Israel,6193 Main St,Berlin,TYO,43001,Phone Number
93217,Comoros,6804 Main St,London,NSW,11391,Phone Number
44468,Iran,200 Main St,Berlin,NSW,75206,Phone Number
72379,Vietnam,6757 Main St,Sydney,ENG,52215,Phone Number
97941,Belize,5975 Main St,Toronto,NSW,89720,Phone Number
23742,Belarus,4371 Main St,New York,TYO,37114,Phone Number
30068,United States of America,337 Main St,London,ON,21882,Phone Number
52783,Poland,7326 Main St,Berlin,NY,27273,Phone Number
27227,Canada,8132 Main St,London,ENG,55647,Phone Number
17535,Israel,5318 Main St,Sydney,ON,92665,Phone Number
32176,Lebanon,4125 Main St,London,NY,74892,Phone Number
12633,Andorra,6173 Main St,Toronto,NY,52679,Phone Number
67496,Slovakia,2642 Main St,London,NY,10427,Phone Number
23779,Liberia,1637 Main St,Tokyo,BE,76267,Phone Number
92648,Antigua and Barbuda ,854 Main St,Toronto,ON,10799,Phone Number
98148,China,7496 Main St,Berlin,ENG,65659,Phone Number
89024,Niger,7923 Main St,New York,ENG,17025,Phone Number
78426,United Kingdom,5607 Main St,New York,NY,24481,Phone Number
74343,Bangladesh,4335 Main St,Sydney,ON,35411,Phone Number
38261,Myanmar,640 Main St,Sydney,BE,24961,Phone Number
57078,Tonga,5610 Main St,Tokyo,NY,31767,Phone Number
12864,Guinea-Bissau,8561 Main St,Berlin,NSW,61690,Phone Number
45032,Nauru,8026 Main St,New York,ENG,62870,Phone Number
22628,Swaziland,5231 Main St,New York,TYO,46135,Phone Number
74073,Finland,8797 Main St,New York,NY,74514,Phone Number
19992,Papua New Guinea,1229 Main St,New York,NSW,96928,Phone Number
24685,Mauritius ,3245 Main St,London,ENG,88798,Phone Number
48724,Mozambique,8653 Main St,Berlin,BE,80765,Phone Number
20524,Bulgaria,3820 Main St,Toronto,ON,33772,Phone Number
38802,Spain,9748 Main St,Toronto,ENG,28799,Phone Number
25281,Vanuatu,4167 Main St,Tokyo,ON,33555,Phone Number
25064,Belgium,4295 Main St,London,ON,29333,Phone Number
59791,Belgium,9973 Main St,New York,BE,14261,Phone Number
11120,Guinea-Bissau,9344 Main St,New York,BE,79002,Phone Number
73650,Togo,7381 Main St,Sydney,NY,56553,Phone Number
81614,Cote d'Ivoire,2609 Main St,Sydney,NY,13088,Phone Number
78701,Republic of the Congo,5116 Main St,Tokyo,ENG,55783,Phone Number
60972,Libya,6633 Main St,New York,BE,11115,Phone Number
65516,East Timor,4827 Main St,Tokyo,NSW,80114,Phone Number
73778,Switzerland,781 Main St,London,ENG,78126,Phone Number
59842,Palau,4032 Main St,Toronto,TYO,82908,Phone Number
24802,Jordan,5660 Main St,New York,ON,79109,Phone Number
33748,Slovenia,4116 Main St,Berlin,ON,12978,Phone Number
58068,South Korea,7439 Main St,London,NY,19422,Phone Number
22789,Norway,819 Main St,New York,NSW,53626,Phone Number
94019,Afghanistan,174 Main St,Berlin,BE,99233,Phone Number
29345,Bangladesh,9585 Main St,Sydney,BE,66174,Phone Number
27722,Guinea,4257 Main St,Tokyo,NY,47743,Phone Number
54305,Cuba,8611 Main St,Sydney,TYO,80461,Phone Number
36772,Russia,2249 Main St,Toronto,ENG,67199,Phone Number
14390,Seychelles ,9744 Main St,Sydney,ENG,39430,Phone Number
87455,South Korea,9847 Main St,New York,NSW,38834,Phone Number
69750,Ghana,6813 Main St,Berlin,NY,34435,Phone Number
61656,Costa Rica,4307 Main St,Sydney,NY,97212,Phone Number
36858,Romania,7241 Main St,New York,TYO,65797,Phone Number
57235,Czech Republic,8752 Main St,Toronto,ENG,53554,Phone Number
74864,Liechtenstein,9178 Main St,Berlin,NY,64555,Phone Number
17931,Seychelles ,4036 Main St,Sydney,BE,95350,Phone Number
27859,Somalia,9407 Main St,Tokyo,NSW,24716,Phone Number
75200,Solomon Islands,1175 Main St,Tokyo,ENG,70261,Phone Number
81337,Uganda,3976 Main St,Berlin,TYO,37528,Phone Number
14493,Equatorial Guinea,4715 Main St,Tokyo,NSW,11995,Phone Number
94393,Costa Rica,7365 Main St,Sydney,ON,32414,Phone Number
21102,Moldova ,6479 Main St,Sydney,BE,23844,Phone Number
50135,Burkina Faso,9218 Main St,Berlin,TYO,46659,Phone Number
80294,Guatemala,4752 Main St,Sydney,NSW,25522,Phone Number
39312,Swaziland,6892 Main St,New York,NY,84034,Phone Number
98783,Maldives,9347 Main St,Toronto,ON,52322,Phone Number
65404,Thailand,7556 Main St,Tokyo,TYO,77638,Phone Number
56943,Sudan,4774 Main St,New York,NY,18524,Phone Number
79221,Costa Rica,641 Main St,Berlin,BE,40846,Phone Number
47220,Denmark,2261 Main St,Tokyo,ON,83643,Phone Number
76658,Angola,2351 Main St,New York,ENG,70096,Phone Number
94304,Papua New Guinea,9344 Main St,Sydney,NY,93804,Phone Number
52287,North Korea,4669 Main St,Berlin,NSW,57703,Phone Number
66577,El Salvador,2844 Main St,Berlin,TYO,34399,Phone Number
75768,Burkina Faso,6141 Main St,Tokyo,ON,85160,Phone Number
28501,Yemen,4775 Main St,Sydney,NY,98667,Phone Number
97219,Republic of the Congo,1660 Main St,Tokyo,ENG,58591,Phone Number
48459,Andorra,1264 Main St,London,TYO,30714,Phone Number
46309,Dominican Republic,5519 Main St,New York,TYO,45877,Phone Number
43381,Israel,2822 Main St,London,NY,94106,Phone Number
65525,Solomon Islands,570 Main St,New York,ENG,88018,Phone Number
55116,Liberia,9708 Main St,Toronto,BE,69136,Phone Number
29816,Mali,1568 Main St,Berlin,BE,43414,Phone Number
54570,Uzbekistan,8025 Main St,Tokyo,ON,96576,Phone Number
26738,Tunisia ,908 Main St,Toronto,NY,88943,Phone Number
75890,Vatican City,8463 Main St,Toronto,ON,55468,Phone Number
13207,Djibouti,6819 Main St,Berlin,BE,89702,Phone Number
11532,Ukraine,5173 Main St,Berlin,TYO,82108,Phone Number
64712,East Timor,8112 Main St,New York,ON,56835,Phone Number
30303,Uganda,1745 Main St,London,ENG,73333,Phone Number
24154,Guinea,8349 Main St,Sydney,NSW,52464,Phone Number
40340,Equatorial Guinea,1229 Main St,New York,BE,32923,Phone Number
96691,Malta,1453 Main St,Sydney,BE,71855,Phone Number
67431,Cyprus,867 Main St,Toronto,ENG,77445,Phone Number
27536,Czech Republic,3995 Main St,Sydney,ON,77619,Phone Number
40224,Libya,8974 Main St,London,NY,56146,Phone Number
66776,Vietnam,3554 Main St,New York,TYO,70032,Phone Number
76471,Jordan,7429 Main St,Berlin,NSW,27140,Phone Number
42827,Mali,1890 Main St,London,NY,12670,Phone Number
54009,Czech Republic,9769 Main St,London,NY,46519,Phone Number
13256,Slovakia,985 Main St,New York,ENG,54512,Phone Number
78915,Zimbabwe,7834 Main St,Berlin,ON,67811,Phone Number
55848,Honduras,4006 Main St,London,BE,24691,Phone Number
92746,Switzerland,4592 Main St,Berlin,BE,44262,Phone Number
66507,South Africa,9830 Main St,Tokyo,ENG,64892,Phone Number
56991,Uganda,2173 Main St,Tokyo,ON,35595,Phone Number
50171,Iran,412 Main St,Tokyo,ENG,67207,Phone Number
46711,Algeria,6369 Main St,Sydney,BE,43440,Phone Number
84449,Central African Republic,5417 Main St,London,NY,18630,Phone Number
46403,The Bahamas,910 Main St,New York,TYO,41250,Phone Number
48024,South Africa,6941 Main St,New York,ON,87518,Phone Number
61669,Benin,2132 Main St,Sydney,NSW,84191,Phone Number
72150,Hungary,9799 Main St,New York,NSW,74791,Phone Number
63594,Austria,7229 Main St,Tokyo,NY,94118,Phone Number
96138,Tajikistan,2805 Main St,London,ENG,73753,Phone Number
93831,Portugal,8888 Main St,New York,ENG,70520,Phone Number
75466,Belgium,2247 Main St,New York,BE,14008,Phone Number
54880,Slovenia,715 Main St,Toronto,NY,54464,Phone Number
98585,Czech Republic,1047 Main St,Toronto,BE,10496,Phone Number
50514,Marshall Islands,5777 Main St,Toronto,BE,33212,Phone Number
91177,Sudan,4751 Main St,London,NSW,30637,Phone Number
44979,Dominican Republic,7966 Main St,Tokyo,BE,55227,Phone Number
13908,Tanzania,2113 Main St,Berlin,BE,92413,Phone Number
59537,Switzerland,3797 Main St,Tokyo,NSW,93346,Phone Number
57202,Greenland,590 Main St,Tokyo,ENG,19884,Phone Number
16552,Tonga,4450 Main St,London,ON,78259,Phone Number
35481,Saudi Arabia,2528 Main St,London,TYO,59810,Phone Number
73549,Belize,5087 Main St,Toronto,BE,14761,Phone Number
68342,Angola,8833 Main St,New York,ON,83166,Phone Number
41675,Malaysia,9579 Main St,Sydney,NSW,26375,Phone Number
90805,Ethiopia,9925 Main St,Sydney,ON,35218,Phone Number
64215,Greenland,5020 Main St,Berlin,TYO,40565,Phone Number
47981,Benin,3026 Main St,New York,ON,42975,Phone Number
29872,Yemen,9644 Main St,Berlin,ON,37073,Phone Number
35305,Rwanda,7382 Main St,Toronto,ON,79726,Phone Number
50504,Mauritania,4476 Main St,Berlin,ON,11883,Phone Number
25373,New Zealand,9590 Main St,New York,NY,78422,Phone Number
22838,Samoa ,4968 Main St,New York,BE,59629,Phone Number
38684,Fiji,7086 Main St,Sydney,NSW,74170,Phone Number
94787,Malawi,6962 Main St,Toronto,TYO,84489,Phone Number
45520,Marshall Islands,4523 Main St,London,NSW,18381,Phone Number
58173,Grenada,6970 Main St,Berlin,NY,33238,Phone Number
53951,Luxembourg,8259 Main St,Sydney,NY,23795,Phone Number
90767,Zimbabwe,2173 Main St,Berlin,NY,72999,Phone Number
53886,China,6270 Main St,Berlin,BE,59907,Phone Number
90546,United States of America,801 Main St,London,NY,19638,Phone Number
75302,Central African Republic,8213 Main St,Toronto,ON,80467,Phone Number
86543,Antigua and Barbuda ,6925 Main St,New York,NSW,52623,Phone Number
85016,Guatemala,7967 Main St,Tokyo,ENG,48492,Phone Number
74021,Qatar,4364 Main St,Berlin,TYO,36411,Phone Number
16397,Israel,8068 Main St,Tokyo,NY,30534,Phone Number
64126,Thailand,8246 Main St,Toronto,NSW,39181,Phone Number
88269,Singapore,7876 Main St,Tokyo,NY,29996,Phone Number
40797,North Korea,8658 Main St,Berlin,BE,82089,Phone Number
77968,Austria,8819 Main St,London,NY,93609,Phone Number
84093,Japan,4986 Main St,Tokyo,NY,82666,Phone Number
10391,Zimbabwe,4035 Main St,Toronto,NY,39405,Phone Number
45849,Lithuania,4719 Main St,Toronto,NY,81325,Phone Number
43056,Luxembourg,5291 Main St,London,TYO,38930,Phone Number
31500,Central African Republic,6975 Main St,Tokyo,NSW,27529,Phone Number
54673,Norway,7956 Main St,Tokyo,BE,63546,Phone Number
63954,Democratic Republic of the Congo,5501 Main St,New York,NY,17942,Phone Number
77510,New Zealand,3122 Main St,Sydney,NY,17548,Phone Number
32926,Ukraine,5838 Main St,Toronto,NY,28296,Phone Number
28422,Taiwan,6084 Main St,New York,NY,61016,Phone Number
44835,Italy,1870 Main St,Toronto,ON,10296,Phone Number
30632,Finland,9089 Main St,New York,ON,77945,Phone Number
38539,Sudan,3315 Main St,Sydney,ENG,69980,Phone Number
11378,Croatia,6794 Main St,New York,NY,66782,Phone Number
48456,Mauritania,3076 Main St,Toronto,ENG,44229,Phone Number
57178,New Zealand,3837 Main St,Tokyo,TYO,63444,Phone Number
52235,Pakistan,852 Main St,Toronto,ENG,45036,Phone Number
54489,Poland,1492 Main St,Berlin,NSW,49322,Phone Number
56743,Lithuania,6889 Main St,London,ON,37167,Phone Number
92008,Pakistan,777 Main St,London,ON,61667,Phone Number
60699,East Timor,205 Main St,Berlin,NY,93337,Phone Number
73339,Marshall Islands,4853 Main St,London,NY,61468,Phone Number
98497,Cuba,2046 Main St,London,TYO,82894,Phone Number
56100,Greenland,5644 Main St,Sydney,BE,63084,Phone Number
55835,Luxembourg,1195 Main St,Tokyo,TYO,73138,Phone Number
92309,Israel,7085 Main St,Tokyo,NSW,32588,Phone Number
28113,Djibouti,1882 Main St,Toronto,NY,72901,Phone Number
13479,Bulgaria,4641 Main St,Berlin,NY,27671,Phone Number
67510,Mongolia,3357 Main St,New York,TYO,93038,Phone Number
75440,Dominican Republic,6313 Main St,Toronto,TYO,41645,Phone Number
19266,Yemen,4969 Main St,Toronto,TYO,17637,Phone Number
85922,Federated States of Micronesia,1661 Main St,Toronto,ON,10660,Phone Number
69211,Finland,4106 Main St,Toronto,ENG,16922,Phone Number
79191,The Bahamas,9967 Main St,Tokyo,ENG,54721,Phone Number
82650,Grenada,9414 Main St,New York,NY,67256,Phone Number
49181,Sao Tome and Principe,4081 Main St,Toronto,ON,79506,Phone Number
20682,El Salvador,9593 Main St,Tokyo,TYO,78943,Phone Number
25079,Sweden,5782 Main St,Toronto,NY,37843,Phone Number
44195,Turkmenistan,5882 Main St,London,ON,19046,Phone Number
32091,Monaco,1043 Main St,Toronto,NSW,99336,Phone Number
66752,Turkey,4650 Main St,Berlin,BE,73985,Phone Number
48141,Mozambique,9237 Main St,Berlin,ON,90083,Phone Number
88789,Yemen,700 Main St,Toronto,NY,40346,Phone Number
14088,Philippines,6476 Main St,Sydney,ENG,98284,Phone Number
12090,Democratic Republic of the Congo,9709 Main St,London,TYO,63526,Phone Number
10275,Fiji,1624 Main St,New York,BE,83143,Phone Number
63089,Macedonia,3866 Main St,Toronto,NSW,46787,Phone Number
71394,Tunisia ,350 Main St,New York,BE,43583,Phone Number
16554,Liechtenstein,9836 Main St,London,BE,22563,Phone Number
99415,Qatar,178 Main St,Toronto,ON,56060,Phone Number
10851,Tonga,3223 Main St,Sydney,NY,43690,Phone Number
65171,Belgium,9189 Main St,Tokyo,NY,24925,Phone Number
20699,Chad,7164 Main St,Sydney,BE,96787,Phone Number
81501,Thailand,8517 Main St,Sydney,TYO,93184,Phone Number
96784,Iceland,1309 Main St,Tokyo,NY,30108,Phone Number
47631,Saint Lucia,5253 Main St,Tokyo,BE,86515,Phone Number
68047,Japan,4998 Main St,Berlin,NY,78258,Phone Number
80822,India,2278 Main St,Tokyo,TYO,15355,Phone Number
16232,Vanuatu,7710 Main St,Toronto,NSW,56069,Phone Number
18387,Chad,8995 Main St,New York,BE,64471,Phone Number
68048,Malawi,2644 Main St,Berlin,ENG,42705,Phone Number
93748,Finland,5622 Main St,Berlin,ENG,53909,Phone Number
75429,Turkey,2470 Main St,New York,BE,98606,Phone Number
25556,South Africa,3381 Main St,Berlin,ON,63739,Phone Number
94983,Lithuania,4810 Main St,Tokyo,NSW,86820,Phone Number
83811,Russia,428 Main St,Sydney,ON,97273,Phone Number
33116,The Bahamas,5679 Main St,London,ENG,33241,Phone Number
18470,The Bahamas,4328 Main St,Tokyo,TYO,37414,Phone Number
36215,Turkey,6894 Main St,Sydney,BE,60818,Phone Number
97774,Mauritius ,220 Main St,Sydney,NY,30895,Phone Number
59346,Bulgaria,6849 Main St,Berlin,ENG,72409,Phone Number
52881,Iran,1064 Main St,Toronto,NSW,65324,Phone Number
19611,Ghana,4324 Main St,Toronto,ENG,76920,Phone Number
95479,Malawi,3775 Main St,Berlin,NSW,63555,Phone Number
37557,Zimbabwe,5794 Main St,Berlin,NSW,75453,Phone Number
77668,Tajikistan,2176 Main St,New York,BE,32689,Phone Number
53413,Czech Republic,6965 Main St,New York,NSW,74356,Phone Number
61980,Mauritius ,5743 Main St,London,ON,18252,Phone Number
46012,Lesotho,8624 Main St,London,TYO,40844,Phone Number
40511,Mali,5349 Main St,London,ENG,33365,Phone Number
19867,Georgia,1416 Main St,London,TYO,16026,Phone Number
72482,Albania,1296 Main St,Sydney,NY,38523,Phone Number
33213,Cyprus,3270 Main St,Sydney,ENG,20482,Phone Number
90551,Saint Kitts and Nevis ,9721 Main St,New York,TYO,58888,Phone Number
56224,Tunisia ,455 Main St,Toronto,TYO,60110,Phone Number
65913,Cuba,9818 Main St,Berlin,BE,10493,Phone Number
82346,Kiribati,128 Main St,Toronto,BE,66194,Phone Number
